"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1551","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:46 MSK 2024","passed","Wed Dec 25 07:39:48 MSK 2024","TestHomePage","test_home_page","",""
"","1568","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:49 MSK 2024","passed","Wed Dec 25 07:39:51 MSK 2024","TestHomePage","test_home_page","",""
"","1491","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:40 MSK 2024","passed","Wed Dec 25 07:39:42 MSK 2024","TestHomePage","test_home_page","",""
"","1370","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:55 MSK 2024","passed","Wed Dec 25 07:39:56 MSK 2024","TestHomePage","test_home_page","",""
"","4835","Заказ самоката через верхнюю кнопку","tests","Wed Dec 25 07:40:04 MSK 2024","passed","Wed Dec 25 07:40:08 MSK 2024","","test_order_page","",""
"","4917","Заказ самоката через верхнюю кнопку","tests","Wed Dec 25 07:40:10 MSK 2024","passed","Wed Dec 25 07:40:15 MSK 2024","","test_order_page","",""
"","1387","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:43 MSK 2024","passed","Wed Dec 25 07:39:45 MSK 2024","TestHomePage","test_home_page","",""
"","2610","Проверка логотипа Яндекса","tests","Wed Dec 25 07:40:16 MSK 2024","passed","Wed Dec 25 07:40:19 MSK 2024","TestSwitchTo","test_switch_to","",""
"","1505","Проверка логотипа Самоката","tests","Wed Dec 25 07:40:20 MSK 2024","passed","Wed Dec 25 07:40:22 MSK 2024","TestSwitchTo","test_switch_to","",""
"","1375","Тестирование выпадающего списка","tests","Wed Dec 25 07:40:01 MSK 2024","passed","Wed Dec 25 07:40:02 MSK 2024","TestHomePage","test_home_page","",""
"","1369","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:52 MSK 2024","passed","Wed Dec 25 07:39:54 MSK 2024","TestHomePage","test_home_page","",""
"","1422","Тестирование выпадающего списка","tests","Wed Dec 25 07:39:58 MSK 2024","passed","Wed Dec 25 07:39:59 MSK 2024","TestHomePage","test_home_page","",""
